id,state,year,quarter,transaction_type,transaction_count,transaction_amount
74,India,2021,3,Financial Services,3112160,4043342762.3300233
75,India,2021,3,Others,13558464,7146868847.2897215
76,India,2021,4,Merchant payments,3152394530,1995855822160.6426
77,India,2021,4,Peer-to-peer payments,2716561423,9203910371491.78
78,India,2021,4,Recharge & bill payments,738096162,407266894783.10693
79,India,2021,4,Financial Services,4141629,5028434834.240034
80,India,2021,4,Others,14562602,9296993478.869577
81,India,2022,1,Merchant payments,3748851071,2272818129376.5205
82,India,2022,1,Peer-to-peer payments,3074250150,10505936803336.926
83,India,2022,1,Recharge & bill payments,749674246,447599848131.41187
84,India,2022,1,Financial Services,4035100,4921211866.489969
85,India,2022,1,Others,16393502,8422766458.459174
86,India,2022,2,Merchant payments,4765203787,2847096877386.341
87,India,2022,2,Peer-to-peer payments,3506141323,12123524700463.535
88,India,2022,2,Recharge & bill payments,845751926,523046092987.93964
89,India,2022,2,Financial Services,3272822,3889787479.819907
90,India,2022,2,Others,11241480,6711034131.16017
91,India,2022,3,Merchant payments,5618132071,3151614767860.314
92,India,2022,3,Peer-to-peer payments,3957113406,12837803371386.29
93,India,2022,3,Recharge & bill payments,956164949,607048699730.3645
94,India,2022,3,Financial Services,3959631,4514223164.469998
95,India,2022,3,Others,10005043,6725900102.770244
96,India,2022,4,Merchant payments,6565690145,3673601044800.037
97,India,2022,4,Peer-to-peer payments,4459859921,14578874324207.227
98,India,2022,4,Recharge & bill payments,991049281,649776847580.25
99,India,2022,4,Financial Services,4623387,5360528394.309982
100,India,2022,4,Others,10013085,7361492606.590162
101,India,2023,1,Merchant payments,7205999708,3745994748195.0
102,India,2023,1,Peer-to-peer payments,4792478560,15924876501456.0
103,India,2023,1,Recharge & bill payments,1076952638,829952832616.0
104,India,2023,1,Financial Services,4884759,5673343900.0
105,India,2023,1,Others,10259195,7571900579.0
106,India,2023,2,Merchant payments,8529595637,4277821161887.0
107,India,2023,2,Peer-to-peer payments,5374546962,17722778868673.0
108,India,2023,2,Recharge & bill payments,1190947064,904758857308.0
109,India,2023,2,Financial Services,5195942,6364033676.0
110,India,2023,2,Others,9341245,6919677602.0
111,India,2023,3,Merchant payments,9868299757,4686944326058.0
112,India,2023,3,Peer-to-peer payments,5929662466,18342686827713.0
113,India,2023,3,Recharge & bill payments,1229068434,967694654180.0
114,India,2023,3,Financial Services,6273522,8553479441.0
115,India,2023,3,Others,8491944,6397985054.0
116,India,2023,4,Merchant payments,11107996161,5419672580085.0
117,India,2023,4,Peer-to-peer payments,6643982862,20533815852133.0
118,India,2023,4,Recharge & bill payments,1247192050,1077506924551.0
119,India,2023,4,Financial Services,7517384,9998159518.0
120,India,2023,4,Others,8651416,6391200449.0
121,India,2024,1,Merchant payments,12520741960,5962442621632.0
122,India,2024,1,Peer-to-peer payments,7335480797,22327480157794.0
123,India,2024,1,Recharge & bill payments,1365204965,1150335013422.0
124,India,2024,1,Financial Services,7419656,11806228360.0
125,India,2024,1,Others,8290191,6518078355.0
126,India,2024,2,Merchant payments,14634736361,6800938567813.0
127,India,2024,2,Peer-to-peer payments,7929923251,23817818323139.0
128,India,2024,2,Recharge & bill payments,1443979969,1179029035046.0
129,India,2024,2,Financial Services,8865844,14501331707.0
130,India,2024,2,Others,8700101,8229697142.0
131,India,2024,3,Merchant payments,15826083595,7132485242978.0
132,India,2024,3,Peer-to-peer payments,8566984108,23963938754607.0
133,India,2024,3,Recharge & bill payments,1409788062,1224783540794.0
134,India,2024,3,Financial Services,10798565,17450358563.0
135,India,2024,3,Others,7361054,8309733368.0
136,India,2024,4,Merchant payments,17419191808,8081429560226.0
137,India,2024,4,Peer-to-peer payments,9368204284,26633866936498.0
138,India,2024,4,Recharge & bill payments,1392529171,1255972669825.0
139,India,2024,4,Financial Services,32113340,18162331751.0
140,India,2024,4,Others,7217236,9369386297.0
141,andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.4673655091
142,andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982
143,andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.168646613
144,andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.419933464953
145,andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223
146,andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479
147,andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.231047668
148,andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008
149,andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509
150,andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576
151,andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829
152,andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.541635044
153,andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043
154,andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806485
155,andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323
156,andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375
157,andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177
158,andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656
159,andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286
160,andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435
161,andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.8729725825
162,andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808345.86839552
163,andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266589.8469614363
164,andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.43671861099
165,andaman-&-nicobar-islands,2019,1,Others,283,497094.6484417205
166,andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242448.256212333
167,andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525358.66652842
168,andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702152.616619372
169,andaman-&-nicobar-islands,2019,2,Financial Services,124,113278.91371326067
170,andaman-&-nicobar-islands,2019,2,Others,377,671471.222589792
171,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.705916681
172,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.10344616
173,andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684
174,andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874
175,andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564
176,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493224.30754511
177,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.916424634
178,andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.487902376
179,andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.2110898865
180,andaman-&-nicobar-islands,2019,4,Others,200,263177.5944158883
181,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.79234773
182,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.023977457
183,andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.558217709
184,andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.73071652642
185,andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645
186,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73418829
187,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.73517442
188,andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.740471343
189,andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.1397115812
190,andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327
191,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.875469353
192,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.7312394
193,andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.238478824
194,andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.7129860274
195,andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362
196,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.1814983
197,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.534383245
198,andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.940003954
199,andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.9672370641
200,andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272
201,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478
202,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996
203,andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458
204,andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653
205,andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
206,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
207,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121
208,andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908463
209,andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710338
210,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
211,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
212,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055
213,andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328
214,andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573
215,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
216,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
217,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755
218,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358
219,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068
220,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
221,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
222,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305
223,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266
224,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.0229511866
225,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
226,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
227,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
228,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795366
229,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
230,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
231,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.296541
232,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
233,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
234,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
235,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
236,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.6585041
237,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
238,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.66941178
239,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.2301130476
240,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
241,andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,1008821751.0
242,andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,3299762230.0
243,andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,146338470.0
244,andaman-&-nicobar-islands,2023,1,Financial Services,2515,3556954.0
245,andaman-&-nicobar-islands,2023,1,Others,3443,3049182.0
246,andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,1159905474.0
247,andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,3664415887.0
248,andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,158455723.0
249,andaman-&-nicobar-islands,2023,2,Financial Services,2158,4161814.0
250,andaman-&-nicobar-islands,2023,2,Others,3517,3405338.0
251,andaman-&-nicobar-islands,2023,3,Merchant payments,1657848,1289780198.0
252,andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,1111211,3757627272.0
253,andaman-&-nicobar-islands,2023,3,Recharge & bill payments,323935,157992380.0
254,andaman-&-nicobar-islands,2023,3,Financial Services,2199,3850023.0
255,andaman-&-nicobar-islands,2023,3,Others,3183,2346918.0
256,andaman-&-nicobar-islands,2023,4,Merchant payments,2039888,1653303276.0
257,andaman-&-nicobar-islands,2023,4,Peer-to-peer payments,1321796,4420459049.0
258,andaman-&-nicobar-islands,2023,4,Recharge & bill payments,327460,185028400.0
259,andaman-&-nicobar-islands,2023,4,Financial Services,3276,7836466.0
260,andaman-&-nicobar-islands,2023,4,Others,3363,2925308.0
261,andaman-&-nicobar-islands,2024,1,Merchant payments,2401038,1887811915.0
262,andaman-&-nicobar-islands,2024,1,Peer-to-peer payments,1436380,4771886847.0
263,andaman-&-nicobar-islands,2024,1,Recharge & bill payments,341224,188939343.0
264,andaman-&-nicobar-islands,2024,1,Financial Services,3761,7962745.0
265,andaman-&-nicobar-islands,2024,1,Others,2517,2550985.0
266,andaman-&-nicobar-islands,2024,2,Merchant payments,2769052,2053269052.0
267,andaman-&-nicobar-islands,2024,2,Peer-to-peer payments,1513157,5033712226.0
268,andaman-&-nicobar-islands,2024,2,Recharge & bill payments,365214,196987648.0
269,andaman-&-nicobar-islands,2024,2,Financial Services,3371,9550750.0
270,andaman-&-nicobar-islands,2024,2,Others,2430,2260654.0
271,andaman-&-nicobar-islands,2024,3,Merchant payments,3158032,2132361939.0
272,andaman-&-nicobar-islands,2024,3,Peer-to-peer payments,1733054,5305660809.0
273,andaman-&-nicobar-islands,2024,3,Recharge & bill payments,382130,213105223.0
274,andaman-&-nicobar-islands,2024,3,Financial Services,4169,10756400.0
275,andaman-&-nicobar-islands,2024,3,Others,1865,1960638.0
276,andaman-&-nicobar-islands,2024,4,Merchant payments,3666060,2546601178.0
277,andaman-&-nicobar-islands,2024,4,Peer-to-peer payments,1993301,6142805445.0
278,andaman-&-nicobar-islands,2024,4,Recharge & bill payments,389318,214912264.0
279,andaman-&-nicobar-islands,2024,4,Financial Services,12889,12789955.0
280,andaman-&-nicobar-islands,2024,4,Others,2332,3835931.0
281,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562
282,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782
283,andhra-pradesh,2018,1,Merchant payments,362672,247297640.24000686
284,andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544
285,andhra-pradesh,2018,1,Others,395514,287626042.970705
286,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352
287,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953
288,andhra-pradesh,2018,2,Merchant payments,604847,436785223.86032957
289,andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599
290,andhra-pradesh,2018,2,Others,322063,328092346.575651
291,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724
292,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927
293,andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212
294,andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308
295,andhra-pradesh,2018,3,Others,348725,284248675.5700202
296,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608
297,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
298,andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256
299,andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068
300,andhra-pradesh,2018,4,Others,389411,315211361.26249415
301,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
302,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377
303,andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.3706346
304,andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048
305,andhra-pradesh,2019,1,Others,361263,284937624.5393019
306,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021
307,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095
308,andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959
309,andhra-pradesh,2019,2,Financial Services,145310,26626696.771042537
310,andhra-pradesh,2019,2,Others,448802,361492238.3966455
311,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532
312,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906
313,andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369
314,andhra-pradesh,2019,3,Financial Services,122270,29778183.027080443
315,andhra-pradesh,2019,3,Others,413437,298142027.58625776
316,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753
317,andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486
318,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
319,andhra-pradesh,2019,4,Financial Services,105662,26796571.745749153
320,andhra-pradesh,2019,4,Others,338672,216496893.16102877
321,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
322,andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496994
323,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
324,andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
325,andhra-pradesh,2020,1,Others,292310,188228538.37489766
326,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
327,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
328,andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269
329,andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634
330,andhra-pradesh,2020,2,Others,176241,90087654.60009979
331,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
332,andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
333,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
334,andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
335,andhra-pradesh,2020,3,Others,312329,151582519.18136686
336,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
337,andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
338,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
339,andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
340,andhra-pradesh,2020,4,Others,457527,306853355.59473807
341,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
342,andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
343,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
344,andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
345,andhra-pradesh,2021,1,Others,347907,272546457.5502677
346,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
347,andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
348,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
349,andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
350,andhra-pradesh,2021,2,Others,406842,308302224.3856007
351,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
352,andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754
353,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
354,andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866
355,andhra-pradesh,2021,3,Others,547759,403948275.56756073
356,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
357,andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
358,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
359,andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
360,andhra-pradesh,2021,4,Others,701856,545223415.6638832
361,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
362,andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
363,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
364,andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
365,andhra-pradesh,2022,1,Others,627694,474382234.25397474
366,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
367,andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
368,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
369,andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
370,andhra-pradesh,2022,2,Others,441925,357036084.9071137
371,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
372,andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
373,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
374,andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
375,andhra-pradesh,2022,3,Others,362484,323951101.5715289
376,andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
377,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
378,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
379,andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
380,andhra-pradesh,2022,4,Others,345658,339211363.0027188
381,andhra-pradesh,2023,1,Merchant payments,540680395,311606731877.0
382,andhra-pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
383,andhra-pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
384,andhra-pradesh,2023,1,Financial Services,288150,331233097.0
385,andhra-pradesh,2023,1,Others,488672,477193006.0
386,andhra-pradesh,2023,2,Merchant payments,634303064,349602824539.0
387,andhra-pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
388,andhra-pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
389,andhra-pradesh,2023,2,Financial Services,316533,386071375.0
390,andhra-pradesh,2023,2,Others,379498,409939082.0
391,andhra-pradesh,2023,3,Merchant payments,750265405,395042164275.0
392,andhra-pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0
393,andhra-pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0
394,andhra-pradesh,2023,3,Financial Services,361584,466791218.0
395,andhra-pradesh,2023,3,Others,334566,362636702.0
396,andhra-pradesh,2023,4,Merchant payments,822516631,427677236042.0
397,andhra-pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0
398,andhra-pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0
399,andhra-pradesh,2023,4,Financial Services,431705,535202901.0
400,andhra-pradesh,2023,4,Others,303079,348636223.0
401,andhra-pradesh,2024,1,Merchant payments,926373997,468462542792.0
402,andhra-pradesh,2024,1,Peer-to-peer payments,721764113,2436665736212.0
403,andhra-pradesh,2024,1,Recharge & bill payments,106564415,106646957337.0
404,andhra-pradesh,2024,1,Financial Services,427720,634184211.0
405,andhra-pradesh,2024,1,Others,298240,316249197.0
406,andhra-pradesh,2024,2,Merchant payments,1068247800,526363160284.0
407,andhra-pradesh,2024,2,Peer-to-peer payments,748553253,2545133436133.0
408,andhra-pradesh,2024,2,Recharge & bill payments,112475183,109301693605.0
