id,level,state_name,district_name,year,quarter,count,amount
101,state,nagaland,,2018,3,94371,241792742.9366532
102,state,mizoram,,2018,3,39316,116600738.12539022
103,state,chhattisgarh,,2018,3,3859604,6302307073.446348
104,state,jammu & kashmir,,2018,3,2303961,3934700999.457677
105,state,goa,,2018,3,339511,713166969.2382338
106,state,arunachal pradesh,,2018,3,131146,331726406.7413912
107,state,delhi,,2018,3,18547048,27375846860.618515
108,state,uttarakhand,,2018,3,2229132,3726573039.8585143
109,state,puducherry,,2018,4,307964,625691665.4234949
110,state,tamil nadu,,2018,4,22457444,43302073975.890976
111,state,uttar pradesh,,2018,4,36100767,55096743575.91497
112,state,madhya pradesh,,2018,4,21397555,33905608072.964783
113,state,andhra pradesh,,2018,4,30759548,51473779406.840416
114,state,tripura,,2018,4,448059,624885599.4644469
115,state,lakshadweep,,2018,4,1642,4463213.698222831
116,state,manipur,,2018,4,236110,605683559.3060112
117,state,maharashtra,,2018,4,46090223,79518937047.82959
118,state,dadra & nagar haveli & daman & diu,,2018,4,404082,658750616.8008878
119,state,meghalaya,,2018,4,161132,337585679.00467324
120,state,andaman & nicobar islands,,2018,4,23758,90548336.07445517
121,state,haryana,,2018,4,12950183,25390876016.455025
122,state,rajasthan,,2018,4,20959723,37909087083.33885
123,state,ladakh,,2018,4,35211,135522842.49263746
124,state,punjab,,2018,4,4887137,10781982573.649624
125,state,assam,,2018,4,3734172,5888022859.01307
126,state,jharkhand,,2018,4,6284043,10241916641.12223
127,state,odisha,,2018,4,21142798,23429869571.55922
128,state,bihar,,2018,4,15732401,28397997168.57623
129,state,kerala,,2018,4,4310654,7747361236.812299
130,state,karnataka,,2018,4,44812071,73008386576.05942
131,state,chandigarh,,2018,4,905116,2032591591.779975
132,state,telangana,,2018,4,28921154,49509088448.04927
133,state,himachal pradesh,,2018,4,1307883,2621298968.1392584
134,state,west bengal,,2018,4,36513548,40489619211.70402
135,state,gujarat,,2018,4,14733303,24830987102.78186
